c /a d
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
m /a /b
m /b /a
